userID,Duration,Page,Order,Language,TaskPage
4799,2.5,19,3,English,1
4799,2.699999999999818,24,3,English,2
4799,9.599999999999909,29,3,English,1
4799,0.6999999999998181,29,3,English,2
5689,14.099999999999909,4,3,English,1
5689,2.599999999999909,4,3,English,2
5689,2.599999999999909,9,3,English,1
5689,1.699999999999818,9,3,English,2
5689,4.900000000000091,14,3,English,1
5689,2.699999999999818,14,3,English,2
5689,5.699999999999818,19,3,English,1
5689,1.400000000000091,19,3,English,2
5689,1.2999999999997272,24,3,English,1
5689,3.400000000000091,24,3,English,2
5689,4.5,29,3,English,1
5689,2.700000000000273,29,3,English,2
452,5.099999999999909,5,3,English,1
452,1.900000000000091,5,3,English,2
452,1.800000000000182,10,3,English,1
452,3.399999999999636,10,3,English,2
452,1.199999999999818,15,3,English,1
452,2.0,15,3,English,2
452,1.599999999999909,20,3,English,1
452,1.2000000000002728,20,3,English,2
452,3.100000000000364,25,3,English,1
452,1.099999999999909,25,3,English,2
452,4.599999999999909,30,3,English,1
452,1.2000000000002728,30,3,English,2
6853,3.7000000000000455,1,3,English,1
6853,8.0,1,3,English,2
6853,6.199999999999818,6,3,English,1
6853,3.900000000000091,6,3,English,2
6853,3.2999999999999545,11,3,English,1
6853,5.5,11,3,English,2
6853,2.099999999999909,16,3,English,1
6853,1.900000000000091,16,3,English,2
6853,1.8999999999998636,21,3,English,1
6853,8.200000000000045,21,3,English,2
6853,1.2999999999997272,26,3,English,1
6853,2.0,26,3,English,2
671,2.299999999999727,2,3,English,1
671,1.599999999999909,2,3,English,2
671,1.7999999999999972,7,3,English,1
671,3.0999999999999943,7,3,English,2
671,27.69999999999999,12,3,English,1
671,1.1000000000000227,12,3,English,2
671,2.2000000000000455,17,3,English,1
671,2.7999999999999545,17,3,English,2
671,1.1000000000000227,22,3,English,1
671,1.7000000000000455,22,3,English,2
671,20.300000000000068,27,3,English,1
671,1.2999999999999545,27,3,English,2
1572,2.099999999999909,5,3,English,1
1572,3.5,5,3,English,2
1572,0.6000000000003638,10,3,English,1
1572,2.099999999999909,10,3,English,2
1572,9.399999999999636,15,3,English,2
1572,3.299999999999727,15,3,English,1
1572,3.900000000000091,20,3,English,1
1572,1.400000000000091,20,3,English,2
1572,0.900000000000091,25,3,English,1
1572,0.7999999999997272,25,3,English,2
1572,0.900000000000091,30,3,English,1
1572,0.7999999999997272,30,3,English,2
2929,4.0,4,3,English,1
2929,6.300000000000011,4,3,English,2
2929,4.100000000000023,9,3,English,1
2929,1.7000000000000455,9,3,English,2
2929,4.699999999999932,14,3,English,1
2929,2.1000000000000227,14,3,English,2
2929,4.5,19,3,English,1
2929,2.7999999999999545,19,3,English,2
2929,5.099999999999909,24,3,English,1
2929,6.5,24,3,English,2
2929,11.5,29,3,English,1
2929,9.399999999999864,29,3,English,2
